med_name,hour,minute,second,pills,servoNum,pillsInTape,dosesPerDay,triggered,notifiedLowDays,lastNotifyTime
MedA,19,36,37,5,2,97,3,False,False,1687703307
MedE,17,10,58,4,8,30,4,False,False,1666568973
MedD,0,9,34,2,3,3,3,False,False,1698743660
MedE,14,10,6,2,5,3,2,True,True,1633673741
MedB,3,43,42,3,5,53,2,False,True,1683765270
MedE,22,14,53,4,10,49,4,False,True,1628654195
MedB,6,59,21,3,3,8,4,True,False,1607896057
MedA,0,22,42,3,3,65,3,True,True,1617730969
MedB,20,0,0,3,2,48,3,False,True,1661747721
MedE,16,30,16,1,6,82,1,True,False,1607831245
MedD,8,27,24,4,8,3,2,True,False,1646107027
MedB,21,11,38,5,6,100,2,True,False,1640533237
MedE,5,39,7,5,5,47,1,False,True,1657274002
MedA,1,41,11,3,8,33,1,True,False,1619955460
MedE,4,0,7,5,9,49,1,False,True,1614667247
MedB,0,49,12,3,7,95,2,False,True,1623733179
MedC,13,37,53,1,4,77,1,True,False,1686433243
MedE,15,50,54,5,2,87,1,True,True,1675702083
MedC,21,46,40,2,9,35,1,True,False,1659160720
MedE,21,4,58,3,5,1,2,False,False,1628452588
MedB,23,47,26,2,1,83,3,False,False,1621262108
MedB,12,33,20,4,3,50,4,True,True,1656453347
MedC,11,54,52,3,7,11,1,True,False,1665198835
MedD,14,42,51,1,1,31,4,False,True,1695515401
MedE,22,41,46,3,7,60,1,False,False,1666301081
MedC,2,2,57,5,5,43,1,False,True,1650402121
MedC,9,1,24,4,4,47,3,True,False,1662499291
MedA,11,58,43,1,3,42,4,False,False,1658350832
MedE,23,17,57,3,3,15,2,True,False,1614770150
MedB,2,1,18,3,10,71,4,True,False,1614696376
MedE,9,47,58,3,9,0,4,False,True,1616460996
MedC,16,12,2,4,8,94,3,True,True,1657885923
MedA,5,1,52,1,7,13,2,True,False,1648610725
MedD,0,53,21,4,7,26,3,True,True,1669067691
MedB,0,8,53,3,8,49,2,True,True,1656637029
MedA,2,36,37,5,9,89,3,False,False,1662468232
MedB,7,32,26,2,9,25,3,False,False,1612174561
MedD,23,14,44,2,6,74,1,True,True,1637154264
MedA,20,43,52,4,3,23,3,True,True,1671989354
MedE,19,32,1,1,10,60,1,False,True,1695405256
MedB,19,8,54,4,2,71,4,False,True,1640175427
MedA,10,33,19,5,1,79,1,True,False,1616611906
MedA,0,37,31,1,10,39,3,False,False,1697592575
MedE,9,12,34,5,1,22,1,True,False,1617504219
MedE,1,56,41,2,8,61,1,True,True,1646015385
MedB,15,15,14,2,10,3,2,True,True,1628089616
MedD,10,27,15,5,6,40,3,True,True,1622984538
MedE,4,35,49,5,5,69,2,True,True,1619586387
MedC,18,22,31,4,9,89,2,False,True,1627808051
MedC,13,29,49,3,2,8,3,False,True,1626461042
MedB,3,44,1,1,5,10,4,True,True,1670721150
MedA,18,22,49,3,5,43,3,True,True,1616581994
MedA,21,32,56,5,5,76,3,False,False,1688892923
MedD,0,28,47,5,7,24,3,False,False,1641915623
MedD,7,38,19,1,2,38,1,False,True,1645973317
MedC,22,6,32,5,4,31,1,True,True,1626183183
MedD,13,34,55,2,3,25,2,False,False,1616297774
MedC,23,16,6,4,5,80,4,False,False,1626677695
MedD,0,17,9,5,4,26,3,False,False,1646155882
MedC,4,33,45,5,5,45,3,True,False,1634601461
MedE,8,7,59,4,7,62,1,True,True,1650216152
MedC,4,57,45,3,10,25,1,True,True,1690748509
MedC,14,15,59,4,10,81,2,True,False,1605986698
MedA,18,9,41,1,1,66,2,False,True,1610021986
MedE,3,29,52,5,8,95,3,True,True,1671825624
MedC,18,49,5,2,7,62,3,False,True,1628448406
MedB,12,8,17,3,1,55,4,True,True,1635979688
MedC,3,50,1,5,5,93,4,False,False,1625249991
MedD,23,41,19,2,9,79,1,False,True,1603698734
MedD,12,7,41,4,5,3,2,True,False,1647709092
MedD,11,52,8,3,8,15,3,False,True,1642810294
MedB,11,2,19,2,1,39,2,True,False,1698681190
MedB,8,34,20,5,7,78,2,False,False,1681379453
MedE,22,2,41,3,4,75,2,True,False,1650499056
MedE,9,7,54,1,2,21,3,True,False,1639527257
MedD,21,51,43,4,6,7,4,False,True,1681297627
MedE,17,1,49,4,4,51,1,True,True,1643513778
MedC,8,27,30,2,6,99,3,True,False,1665887037
MedC,12,2,42,1,7,44,3,True,False,1618105066
MedC,15,16,3,4,2,4,2,True,True,1679259076
MedA,10,38,16,3,3,53,1,True,False,1655888250
MedD,6,7,26,5,6,68,4,True,True,1600615768
MedB,16,40,40,3,9,91,1,True,False,1645723811
MedA,23,41,33,4,7,78,1,False,False,1625911687
MedA,13,15,9,1,4,5,1,False,False,1693039147
MedD,4,5,35,3,8,87,4,False,True,1657928509
MedD,21,21,56,1,4,63,3,True,False,1678900687
MedD,0,54,46,3,9,90,3,True,True,1601824240
MedB,21,45,3,1,3,52,2,False,False,1661722778
MedA,14,56,26,2,4,16,3,False,True,1653759039
MedE,18,29,26,5,2,43,1,False,False,1679491705
MedA,2,48,8,1,10,95,3,True,False,1610066135
MedE,4,33,14,4,1,84,4,False,True,1675867064
MedB,17,23,49,5,1,52,4,True,True,1642018074
MedD,0,4,22,4,4,87,3,True,True,1674340905
MedD,14,41,45,2,4,28,1,True,True,1697585811
MedB,9,23,4,4,1,57,1,False,False,1685338588
MedD,2,14,54,5,7,81,3,False,False,1601796388
MedB,11,54,19,2,3,98,4,False,False,1667555038
MedE,17,37,29,4,1,95,2,True,False,1667515954
MedD,18,31,11,2,8,43,4,False,False,1699668107
MedE,17,3,44,3,2,27,3,False,False,1633859026
MedB,14,38,11,3,2,52,2,False,False,1607952444
MedC,7,38,46,2,1,41,2,False,False,1644046034
MedB,5,3,44,2,7,63,1,True,True,1666665027
MedC,4,37,45,5,3,19,3,True,False,1606019133
MedB,17,29,19,3,2,50,1,True,False,1676784345
MedB,8,35,17,3,9,7,3,False,False,1619987714
MedC,8,36,3,3,9,21,4,False,False,1631473161
MedC,23,43,20,5,10,34,2,False,True,1651346700
MedA,20,12,17,4,5,65,3,True,False,1670940625
MedC,14,8,25,5,3,64,1,True,True,1683228841
MedE,6,31,40,4,9,21,3,False,False,1652491359
MedD,17,6,54,1,5,0,4,True,True,1633389811
MedC,10,10,51,3,7,61,2,True,False,1649495989
MedD,2,15,19,5,3,23,2,False,True,1694300718
MedD,7,32,49,5,2,62,1,False,True,1653987045
MedB,22,21,31,4,5,2,1,True,False,1625702652
MedC,19,43,13,5,3,37,2,False,False,1654376165
MedA,3,43,55,3,9,30,2,False,False,1636236395
MedB,3,9,54,1,6,14,1,True,True,1699061085
MedD,6,19,47,2,3,66,4,True,False,1671783133
MedE,0,43,30,2,6,8,1,True,True,1611302610
MedB,3,27,32,1,2,46,2,True,True,1624650814
MedC,16,46,30,2,3,65,4,False,False,1610213624
MedD,11,27,24,4,9,48,1,False,False,1653549879
MedB,22,22,14,1,2,5,4,True,True,1671570135
MedD,16,48,37,2,5,79,2,False,False,1644339336
MedD,17,44,17,1,3,84,2,False,True,1623367035
MedA,6,42,40,2,5,99,2,True,False,1695528474
MedC,19,41,31,4,9,5,1,False,True,1687286362
MedD,19,9,52,3,4,70,2,True,False,1677762843
MedD,19,16,47,2,1,35,2,True,True,1601547523
MedA,17,17,21,1,1,44,4,False,False,1670119054
MedC,4,13,37,3,6,26,4,False,False,1663311415
MedA,0,42,47,1,1,30,3,False,False,1693571932
MedE,3,31,2,2,2,57,1,True,True,1660421988
MedD,6,24,45,1,1,94,2,True,True,1669460488
MedB,0,38,32,5,10,46,3,False,True,1640941866
MedC,11,11,15,3,2,63,1,False,False,1683083375
MedD,15,50,20,3,4,57,3,False,False,1663107559
MedB,0,25,4,4,2,88,4,False,True,1650623793
MedC,5,42,35,1,9,38,3,True,True,1657804530
MedA,2,28,54,4,5,58,4,False,True,1668526652
MedC,20,10,32,1,1,66,3,True,False,1672758910
MedE,8,15,49,4,9,74,2,True,True,1697285409
MedD,5,47,40,3,10,39,2,False,True,1639460238
MedA,18,29,31,5,7,58,3,True,True,1687661050
MedB,19,53,45,1,10,87,4,False,False,1620954357
MedE,10,25,20,4,10,6,3,False,False,1695706898
MedA,7,24,26,5,10,80,1,True,True,1699287223
MedC,6,20,10,5,7,36,2,False,False,1691971606
MedB,17,20,55,3,7,41,4,True,True,1695223158
MedB,1,8,4,5,7,41,1,False,False,1618225808
MedC,16,3,1,3,2,41,3,True,False,1634490005
MedD,21,11,59,3,7,43,4,True,True,1653764840
MedA,2,39,30,1,10,93,3,False,True,1659296570
MedD,0,44,47,2,6,52,4,True,False,1626621110
MedE,9,44,38,1,6,56,1,True,True,1640445044
MedB,22,52,40,4,6,85,1,True,True,1695995284
MedC,5,47,3,4,10,22,3,False,True,1630367998
MedC,14,16,41,2,6,51,3,True,True,1638583414
MedD,2,10,37,1,2,80,2,False,True,1655324507
MedD,5,43,44,4,7,28,3,True,True,1646342089
MedE,6,51,39,2,8,97,3,False,True,1699053520
MedC,8,49,45,5,6,29,3,True,True,1608447490
MedE,21,24,0,5,3,92,2,False,True,1692238882
MedE,9,35,51,4,10,64,4,True,False,1607984122
MedC,3,1,6,4,6,33,2,False,False,1639633390
MedB,23,32,38,3,3,31,2,False,False,1656645618
MedC,19,24,45,5,5,43,4,True,True,1614256654
MedA,15,16,30,4,1,63,4,False,False,1648928998
MedE,20,57,18,5,1,29,1,True,False,1651810472
MedE,23,18,18,5,8,81,3,False,False,1635646582
MedA,6,0,17,4,10,34,3,False,False,1614303459
MedB,1,32,54,5,1,58,3,True,False,1683854624
MedA,19,28,23,5,3,8,3,True,True,1648565835
MedB,22,45,54,3,3,66,1,True,True,1689701495
MedA,5,33,34,5,9,94,3,False,False,1609876011
MedA,16,14,53,1,5,35,3,False,True,1611867233
MedE,11,53,45,2,7,87,2,True,False,1641594344
MedA,8,32,26,2,8,14,1,True,False,1688536127
MedB,13,35,19,3,3,80,1,True,False,1659280452
MedD,4,0,37,4,7,36,2,True,False,1682235161
MedD,3,23,27,5,1,6,2,False,False,1697732217
MedE,1,49,44,3,10,69,4,False,True,1690920257
MedD,11,55,33,5,9,97,4,False,False,1666873707
MedD,2,57,7,2,5,48,3,False,False,1623157115
MedE,18,36,54,2,7,80,4,True,False,1663628528
MedC,7,7,47,2,10,9,3,True,True,1600666361
MedE,14,59,11,3,7,81,2,True,True,1644540272
MedA,0,40,30,2,2,58,2,True,False,1666494988
MedA,22,57,9,2,3,81,1,False,False,1639759935
MedC,10,50,38,3,9,57,1,False,False,1667183832
MedB,17,35,25,1,8,29,3,True,True,1660349404
MedE,3,51,55,4,10,66,3,True,True,1681401030
MedC,13,32,52,1,3,52,4,True,False,1686289688
MedB,9,34,13,2,9,61,4,True,True,1614574903
MedC,13,55,41,4,9,15,2,False,True,1626959046
MedC,7,23,14,1,4,84,2,False,True,1657666832
MedD,1,48,19,2,8,27,2,False,True,1673646137
MedC,14,27,36,3,9,95,2,False,False,1687521594
MedC,23,5,2,1,9,10,2,True,True,1656395148
MedE,8,15,8,5,1,1,1,False,False,1680107572
MedD,17,31,30,3,4,88,4,False,True,1674309868
MedA,3,0,2,5,6,35,2,False,True,1629783555
MedA,5,0,58,3,5,8,4,False,True,1652612842
MedA,22,48,21,5,8,22,2,True,True,1659352813
MedB,2,39,37,3,6,59,2,False,False,1603811246
MedD,17,47,9,1,7,78,2,False,False,1670503634
MedB,21,51,57,3,1,98,2,True,False,1636448343
MedE,8,9,41,2,5,12,1,False,False,1698714997
MedC,7,35,43,5,6,92,4,True,True,1638254330
MedD,20,12,0,5,7,36,4,True,True,1614188266
MedA,14,13,50,4,4,4,3,False,False,1613343193
MedA,8,39,26,5,6,81,4,True,False,1675859841
MedD,6,24,22,4,6,28,4,False,False,1625590830
MedB,23,46,28,1,4,46,4,False,False,1677806371
MedE,22,23,58,1,9,62,1,True,True,1627677706
MedA,1,53,48,5,5,91,1,True,False,1693629204
MedB,5,56,36,2,10,0,4,True,False,1662656435
MedB,9,54,1,1,1,44,4,True,False,1674425215
MedC,17,31,5,4,9,46,2,True,False,1629430409
MedC,20,52,11,4,10,60,2,False,False,1618318858
MedD,16,12,36,4,1,10,1,True,True,1688845218
MedC,3,42,29,4,1,30,1,False,True,1671547872
MedB,11,58,4,1,4,80,2,True,False,1646663463
MedE,15,30,16,2,5,30,2,False,False,1696141455
MedD,4,42,46,2,2,80,4,False,True,1608236540
MedA,1,30,38,3,8,31,4,False,True,1609940254
MedB,4,39,46,3,4,97,3,True,True,1684593394
MedB,6,11,27,1,10,14,1,False,False,1601389391
MedB,20,45,38,1,9,76,2,False,True,1699371472
MedB,16,16,35,4,9,61,3,False,True,1635692170
MedE,20,59,3,5,4,54,1,True,False,1662069642
MedC,20,26,17,1,4,42,2,False,False,1649434681
MedB,4,32,4,2,9,6,4,True,True,1617819788
MedE,14,58,13,4,10,55,2,False,True,1607625419
MedD,1,37,11,1,4,44,1,False,False,1696747798
MedC,13,22,19,1,3,68,3,False,True,1629382001
MedC,19,52,33,3,3,62,1,False,False,1601329581
MedC,20,19,22,4,6,40,3,True,False,1668072163
MedA,20,51,29,1,8,7,3,False,False,1606121085
MedC,9,8,35,2,10,82,2,False,True,1683057309
MedD,3,5,41,3,9,12,4,False,True,1682058460
MedE,16,28,26,2,7,79,4,True,True,1635559427
MedE,3,25,49,2,4,32,2,True,False,1629111558
MedB,2,34,7,2,7,29,1,True,False,1649299180
MedE,7,44,37,4,9,95,2,True,False,1618714612
MedE,1,12,54,2,4,51,1,False,True,1604479918
MedC,16,30,5,1,4,31,1,False,True,1689498926
MedD,13,51,41,1,6,1,4,True,False,1658981003
MedC,19,3,36,2,2,97,1,False,True,1633910778
MedB,10,37,45,2,5,41,3,True,True,1675611344
MedC,4,30,54,1,5,33,1,False,True,1629502095
MedB,22,31,10,4,4,70,2,True,True,1671841811
MedE,14,25,10,2,5,84,3,False,True,1662425019
MedC,18,30,23,4,9,39,3,True,True,1660984843
MedC,19,15,29,5,6,14,1,False,False,1655861835
MedE,5,11,54,4,5,3,2,False,False,1618046598
MedB,16,36,0,3,5,6,1,False,False,1685707409
MedA,16,58,36,1,7,31,1,False,True,1627473686
MedD,3,5,51,3,2,97,1,False,False,1639916492
MedE,19,20,47,3,3,85,4,True,False,1659320989
MedB,2,20,46,1,1,51,2,True,True,1676040852
MedA,14,8,8,3,2,30,2,False,True,1696008340
MedB,18,21,42,1,5,71,2,True,True,1694222036
MedB,7,56,53,5,9,15,1,False,False,1607226850
MedB,6,13,34,1,4,28,3,True,False,1602385891
MedD,7,37,17,2,9,22,4,True,True,1692331846
MedB,12,24,40,3,8,82,1,False,True,1601822521
MedD,18,53,0,2,4,30,2,False,False,1615866140
MedE,23,28,43,2,9,31,4,False,True,1610293389
MedC,5,53,47,3,5,43,4,False,False,1672277405
MedB,9,2,3,1,5,41,2,False,False,1670948177
MedD,3,27,12,2,9,94,3,False,True,1602622521
MedC,5,37,58,3,1,56,2,False,True,1676591254
MedA,1,0,10,5,3,69,3,True,True,1620442164
MedB,12,3,52,1,2,46,1,True,True,1669354714
MedE,20,5,8,3,5,55,3,True,False,1662943013
MedD,7,51,28,3,5,75,2,False,True,1637600569
MedD,22,50,12,3,5,8,1,True,True,1626093825
MedA,5,0,6,4,3,10,2,True,False,1676434037
MedB,14,57,16,1,10,52,3,False,False,1629697020
MedC,22,31,20,5,4,83,4,False,False,1682084751
MedB,6,22,46,2,1,84,3,True,False,1698683750
MedA,9,21,0,3,5,19,1,True,True,1642914412
MedB,9,28,57,4,9,85,4,True,False,1642519799
MedB,1,51,5,1,4,32,4,True,False,1656706358
MedE,20,22,44,1,9,76,1,True,True,1663182981
MedB,11,58,50,2,6,34,4,False,False,1696670880
MedB,16,58,47,2,6,80,2,False,False,1630555489
MedA,17,14,22,2,2,42,4,False,False,1628624935
MedD,16,51,42,5,9,55,2,True,True,1638727733
MedE,4,24,14,4,9,62,2,True,True,1634041798
MedE,4,44,3,1,9,60,4,False,True,1659889773
MedA,8,6,13,2,8,57,1,True,True,1623755391
MedD,13,24,30,3,3,38,3,True,True,1658337947
MedC,21,57,25,1,3,43,4,False,False,1667101100
MedC,17,0,50,5,7,73,3,True,True,1687845801
MedA,23,6,19,1,8,88,4,True,False,1633177918
MedD,20,10,43,4,10,99,4,True,True,1602694555
MedB,10,25,49,2,10,57,3,True,False,1601494653
MedC,18,27,34,4,5,96,1,False,False,1674660658
MedD,4,5,14,2,2,39,3,True,True,1634769534
MedC,16,8,30,2,4,71,4,False,True,1611793365
MedD,15,46,15,5,2,1,2,False,True,1656301501
MedB,23,56,33,4,8,43,3,True,True,1644681783
MedB,20,34,51,3,6,24,2,True,True,1612492749
MedB,6,6,28,5,3,73,3,True,False,1609101429
MedD,1,31,16,1,10,78,4,True,False,1697122877
MedE,20,8,55,5,10,6,1,True,False,1621849761
MedB,13,54,47,2,6,98,4,False,False,1628947607
MedB,20,29,54,4,2,44,2,True,False,1642935488
MedE,11,25,47,1,3,58,2,False,False,1655493913
MedA,2,48,16,3,1,41,3,False,True,1695015073
MedE,2,10,7,4,3,72,2,False,False,1605319482
MedB,12,4,52,5,2,89,1,False,False,1654680266
MedA,12,2,53,2,6,38,3,True,True,1620908333
MedB,6,9,51,4,1,44,1,True,True,1670523714
MedB,19,50,58,5,7,55,4,False,True,1614107558
MedA,0,14,46,4,1,53,3,False,False,1687798260
MedD,22,23,36,5,1,14,4,True,False,1681912196
MedE,17,14,18,1,6,21,1,False,False,1692040495
MedB,16,56,34,3,5,79,4,True,False,1666767923
MedD,9,19,52,5,1,14,3,True,False,1631124608
MedD,8,29,11,5,4,63,2,True,False,1614923766
MedA,11,2,50,4,1,44,3,False,False,1627753441
MedA,7,33,51,3,5,35,3,False,True,1696278871
MedB,11,54,36,3,10,43,3,False,False,1678232062
MedA,15,54,53,1,5,41,3,False,False,1669608102
MedD,6,11,14,5,6,48,4,True,True,1604795287
MedA,23,11,17,5,4,2,1,True,False,1629499233
MedB,20,29,39,2,1,42,2,False,False,1691517662
MedD,19,29,30,5,2,73,4,True,False,1621162764
MedE,8,3,1,4,6,78,2,True,False,1680205717
MedD,13,43,33,1,9,2,1,True,False,1622255635
MedC,0,59,48,3,2,1,3,False,True,1653018696
MedC,1,42,23,5,6,88,2,True,False,1612163679
MedC,4,36,9,4,4,29,4,True,True,1630574287
MedC,15,13,18,3,4,90,1,False,True,1679848411
MedB,23,41,20,4,2,13,1,True,False,1668100796
MedE,22,13,41,2,1,57,3,True,False,1659649581
MedA,15,18,44,5,3,76,2,False,False,1659907133
MedC,8,4,40,1,7,83,1,True,True,1655236207
MedC,13,31,44,2,6,61,2,False,True,1636685038
MedD,21,4,32,1,1,17,1,False,True,1635437933
MedB,18,29,58,2,1,18,2,True,False,1639717922
MedA,1,2,7,1,7,31,4,False,True,1654926305
MedE,15,47,28,1,10,49,1,True,False,1660011585
MedC,12,59,28,5,9,40,4,True,True,1683132317
